,100
Ranking_History_2,"{19990329: [354, 93], 19990719: [360, 94], 19990809: [452, 63], 19990816: [433, 70], 19991025: [274, 134], 20000214: [263, 119], 20000221: [264, 120], 20000228: [247, 132], 20000313: [281, 110], 20000327: [269, 117], 20000515: [294, 105], 20000522: [257, 127], 20000612: [248, 128], 20000626: [253, 129], 20000710: [245, 129], 20000724: [252, 129], 20000731: [242, 140], 20000807: [242, 140], 20000821: [210, 169], 20000828: [208, 174], 20000904: [208, 174], 20000918: [219, 161], 20000925: [219, 161], 20001009: [152, 252], 20001023: [152, 249], 20010115: [163, 239], 20010205: [161, 239], 20010212: [161, 239], 20010219: [152, 250], 20010226: [158, 244], 20010312: [152, 253], 20010406: [159, 247], 20010507: [156, 247], 20010514: [157, 252], 20010528: [163, 236], 20010604: [163, 236], 20010611: [138, 286], 20010625: [138, 286], 20010702: [138, 286], 20010709: [126, 315], 20010730: [125, 319], 20010806: [126, 319], 20010813: [138, 289], 20010820: [137, 289], 20010827: [139, 289], 20010903: [139, 289], 20010921: [141, 277], 20010924: [145, 277], 20011001: [199, 190], 20011008: [200, 190], 20011126: [212, 175], 20020318: [243, 146], 20020325: [243, 146], 20020422: [209, 171], 20020429: [202, 182], 20020506: [181, 216], 20020513: [179, 215], 20020527: [170, 222], 20020603: [170, 222], 20020610: [197, 193], 20020617: [196, 193], 20020624: [184, 198], 20020701: [184, 198], 20020708: [183, 201], 20020722: [190, 186], 20020729: [194, 186], 20020805: [191, 186], 20020812: [189, 193], 20020826: [163, 229], 20020902: [163, 229], 20020909: [165, 229], 20020923: [158, 233], 20020930: [154, 238], 20021007: [153, 242], 20021014: [155, 242], 20021125: [154, 244], 20030113: [158, 244], 20030224: [150, 247], 20030317: [149, 257], 20030324: [149, 257], 20030404: [129, 285], 20030407: [128, 285], 20030414: [131, 285], 20030421: [98, 420], 20030505: [100, 408], 20030512: [79, 528], 20030526: [79, 535], 20030609: [80, 536], 20030623: [69, 607], 20030630: [69, 607], 20030707: [68, 614], 20030714: [60, 649], 20030721: [53, 704], 20030728: [47, 818], 20030825: [47, 775], 20030919: [48, 768], 20030922: [47, 768], 20030929: [49, 773], 20031006: [49, 773], 20031020: [49, 772], 20040105: [47, 772], 20040119: [46, 772], 20040209: [44, 799], 20040216: [45, 834], 20040223: [43, 844], 20040301: [44, 844], 20040308: [42, 889], 20040419: [51, 704], 20040503: [54, 679], 20040510: [58, 629], 20040517: [61, 614], 20040524: [47, 774], 20040607: [45, 766], 20040621: [52, 701], 20040705: [51, 710], 20040716: [58, 685], 20040719: [65, 630], 20040726: [65, 630], 20040802: [66, 633], 20040816: [59, 685], 20040830: [60, 685], 20040913: [53, 715], 20040924: [46, 775], 20040927: [45, 775], 20041011: [37, 880], 20041025: [39, 890], 20041101: [40, 890], 20050103: [43, 880], 20050110: [42, 880], 20050117: [41, 880], 20050131: [43, 850], 20050207: [40, 900], 20050214: [41, 885], 20050221: [42, 885], 20050307: [40, 885], 20050321: [41, 885], 20050404: [42, 890], 20050411: [37, 940], 20050428: [31, 1060], 20050502: [31, 1060], 20050509: [31, 1020], 20050523: [34, 990], 20050620: [32, 1060], 20050627: [32, 1060]}"
Best_Rank_2,31
Birth_Year_2,19810905.0
Versus_2,"[['V', 20030721, 'atp_matches_2003_4782']]"
Hand_2,R
Last_Tournament_Date_2,20050620
Height_2,183.0
Matches_2,"[['D', 'atp_matches_qual_chall_1999_1308'], ['D', 'atp_matches_qual_chall_1999_3765'], ['V', 'atp_matches_qual_chall_1999_4422'], ['D', 'atp_matches_qual_chall_1999_4431'], ['D', 'atp_matches_qual_chall_1999_4654'], ['V', 'atp_matches_qual_chall_1999_6165'], ['D', 'atp_matches_qual_chall_1999_6174'], ['D', 'atp_matches_qual_chall_2000_917'], ['V', 'atp_matches_qual_chall_2000_1002'], ['V', 'atp_matches_qual_chall_2000_1017'], ['D', 'atp_matches_qual_chall_2000_1024'], ['V', 'atp_matches_qual_chall_2000_1195'], ['D', 'atp_matches_qual_chall_2000_1206'], ['V', 'atp_matches_qual_chall_2000_1504'], ['D', 'atp_matches_qual_chall_2000_1516'], ['D', 'atp_matches_qual_chall_2000_1667'], ['V', 'atp_matches_qual_chall_2000_2497'], ['V', 'atp_matches_qual_chall_2000_2506'], ['V', 'atp_matches_qual_chall_2000_2510'], ['D', 'atp_matches_qual_chall_2000_2512'], ['D', 'atp_matches_qual_chall_2000_2676'], ['D', 'atp_matches_qual_chall_2000_3244'], ['D', 'atp_matches_qual_chall_2000_3668'], ['D', 'atp_matches_qual_chall_2000_3986'], ['V', 'atp_matches_qual_chall_2000_4308'], ['V', 'atp_matches_qual_chall_2000_4320'], ['D', 'atp_matches_qual_chall_2000_4326'], ['D', 'atp_matches_qual_chall_2000_4633'], ['V', 'atp_matches_qual_chall_2000_4847'], ['V', 'atp_matches_qual_chall_2000_4862'], ['V', 'atp_matches_qual_chall_2000_4869'], ['V', 'atp_matches_qual_chall_2000_4873'], ['D', 'atp_matches_qual_chall_2000_4875'], ['V', 'atp_matches_qual_chall_2000_5257'], ['D', 'atp_matches_qual_chall_2000_5269'], ['D', 'atp_matches_qual_chall_2000_5351'], ['V', 'atp_matches_qual_chall_2000_5711'], ['V', 'atp_matches_qual_chall_2000_5724'], ['V', 'atp_matches_qual_chall_2000_5731'], ['D', 'atp_matches_qual_chall_2000_5734'], ['V', 'atp_matches_qual_chall_2000_5874'], ['V', 'atp_matches_qual_chall_2000_5883'], ['V', 'atp_matches_qual_chall_2000_5888'], ['V', 'atp_matches_qual_chall_2000_5890'], ['V', 'atp_matches_qual_chall_2000_5891'], ['V', 'atp_matches_qual_chall_2000_6085'], ['V', 'atp_matches_qual_chall_2000_6098'], ['D', 'atp_matches_qual_chall_2000_6105'], ['V', 'atp_matches_qual_chall_2000_6332'], ['V', 'atp_matches_qual_chall_2000_6344'], ['D', 'atp_matches_qual_chall_2000_6350'], ['D', 'atp_matches_qual_chall_2000_6729'], ['D', 'atp_matches_qual_chall_2001_421'], ['D', 'atp_matches_qual_chall_2001_615'], ['V', 'atp_matches_qual_chall_2001_830'], ['V', 'atp_matches_qual_chall_2001_846'], ['D', 'atp_matches_qual_chall_2001_854'], ['V', 'atp_matches_qual_chall_2001_896'], ['D', 'atp_matches_qual_chall_2001_910'], ['V', 'atp_matches_qual_chall_2001_1264'], ['V', 'atp_matches_qual_chall_2001_1272'], ['D', 'atp_matches_qual_chall_2001_1276'], ['D', 'atp_matches_qual_chall_2001_1506'], ['D', 'atp_matches_2001_1801'], ['D', 'atp_matches_2001_2340'], ['V', 'atp_matches_qual_chall_2001_2490'], ['D', 'atp_matches_qual_chall_2001_2503'], ['D', 'atp_matches_qual_chall_2001_2886'], ['V', 'atp_matches_qual_chall_2001_2935'], ['V', 'atp_matches_qual_chall_2001_3001'], ['V', 'atp_matches_qual_chall_2001_3015'], ['V', 'atp_matches_qual_chall_2001_3022'], ['D', 'atp_matches_qual_chall_2001_3025'], ['V', 'atp_matches_qual_chall_2001_3042'], ['V', 'atp_matches_qual_chall_2001_3051'], ['V', 'atp_matches_qual_chall_2001_3055'], ['D', 'atp_matches_qual_chall_2001_3057'], ['D', 'atp_matches_qual_chall_2001_3221'], ['V', 'atp_matches_qual_chall_2001_3733'], ['V', 'atp_matches_qual_chall_2001_3745'], ['D', 'atp_matches_qual_chall_2001_3751'], ['V', 'atp_matches_qual_chall_2001_3823'], ['V', 'atp_matches_qual_chall_2001_3836'], ['D', 'atp_matches_qual_chall_2001_3843'], ['V', 'atp_matches_qual_chall_2001_4050'], ['V', 'atp_matches_qual_chall_2001_4058'], ['D', 'atp_matches_qual_chall_2001_4062'], ['D', 'atp_matches_qual_chall_2001_4769'], ['V', 'atp_matches_qual_chall_2001_4884'], ['D', 'atp_matches_qual_chall_2001_4900'], ['D', 'atp_matches_qual_chall_2001_5222'], ['V', 'atp_matches_qual_chall_2001_5377'], ['D', 'atp_matches_qual_chall_2001_5387'], ['V', 'atp_matches_qual_chall_2001_5764'], ['V', 'atp_matches_qual_chall_2001_5778'], ['D', 'atp_matches_qual_chall_2001_5785'], ['D', 'atp_matches_qual_chall_2001_5834'], ['V', 'atp_matches_2001_6354'], ['V', 'atp_matches_2001_6357'], ['D', 'atp_matches_2001_6381'], ['D', 'atp_matches_qual_chall_2001_6778'], ['D', 'atp_matches_qual_chall_2001_6910'], ['D', 'atp_matches_qual_chall_2001_7787'], ['V', 'atp_matches_qual_chall_2002_1705'], ['V', 'atp_matches_qual_chall_2002_1719'], ['V', 'atp_matches_qual_chall_2002_1726'], ['D', 'atp_matches_qual_chall_2002_1730'], ['V', 'atp_matches_qual_chall_2002_1773'], ['D', 'atp_matches_qual_chall_2002_1784'], ['V', 'atp_matches_qual_chall_2002_2263'], ['V', 'atp_matches_qual_chall_2002_2272'], ['D', 'atp_matches_qual_chall_2002_2276'], ['V', 'atp_matches_qual_chall_2002_2317'], ['V', 'atp_matches_qual_chall_2002_2330'], ['V', 'atp_matches_qual_chall_2002_2336'], ['V', 'atp_matches_qual_chall_2002_2339'], ['D', 'atp_matches_qual_chall_2002_2341'], ['D', 'atp_matches_2002_2478'], ['V', 'atp_matches_qual_chall_2002_2597'], ['V', 'atp_matches_qual_chall_2002_2609'], ['D', 'atp_matches_qual_chall_2002_2615'], ['V', 'atp_matches_qual_chall_2002_2866'], ['V', 'atp_matches_qual_chall_2002_2881'], ['D', 'atp_matches_qual_chall_2002_2889'], ['D', 'atp_matches_qual_chall_2002_3046'], ['V', 'atp_matches_qual_chall_2002_3085'], ['V', 'atp_matches_qual_chall_2002_3177'], ['D', 'atp_matches_qual_chall_2002_3187'], ['D', 'atp_matches_qual_chall_2002_3320'], ['V', 'atp_matches_qual_chall_2002_3440'], ['D', 'atp_matches_qual_chall_2002_3455'], ['V', 'atp_matches_qual_chall_2002_3832'], ['V', 'atp_matches_qual_chall_2002_3848'], ['D', 'atp_matches_qual_chall_2002_3856'], ['V', 'atp_matches_qual_chall_2002_3929'], ['V', 'atp_matches_qual_chall_2002_3943'], ['V', 'atp_matches_qual_chall_2002_3950'], ['D', 'atp_matches_qual_chall_2002_3953'], ['D', 'atp_matches_qual_chall_2002_4087'], ['D', 'atp_matches_qual_chall_2002_4410'], ['D', 'atp_matches_qual_chall_2002_4863'], ['V', 'atp_matches_qual_chall_2002_4897'], ['V', 'atp_matches_qual_chall_2002_4909'], ['D', 'atp_matches_qual_chall_2002_4915'], ['V', 'atp_matches_qual_chall_2002_5081'], ['V', 'atp_matches_qual_chall_2002_5094'], ['V', 'atp_matches_qual_chall_2002_5101'], ['V', 'atp_matches_qual_chall_2002_5104'], ['D', 'atp_matches_qual_chall_2002_5106'], ['D', 'atp_matches_qual_chall_2002_5616'], ['V', 'atp_matches_qual_chall_2002_5639'], ['V', 'atp_matches_qual_chall_2002_5649'], ['D', 'atp_matches_qual_chall_2002_5654'], ['D', 'atp_matches_qual_chall_2002_5704'], ['V', 'atp_matches_qual_chall_2002_5786'], ['D', 'atp_matches_qual_chall_2002_5800'], ['D', 'atp_matches_2002_6105'], ['V', 'atp_matches_qual_chall_2002_6441'], ['D', 'atp_matches_qual_chall_2002_6452'], ['D', 'atp_matches_qual_chall_2002_6525'], ['V', 'atp_matches_qual_chall_2002_6636'], ['D', 'atp_matches_qual_chall_2002_6650'], ['D', 'atp_matches_qual_chall_2002_7293'], ['D', 'atp_matches_qual_chall_2003_324'], ['V', 'atp_matches_qual_chall_2003_351'], ['V', 'atp_matches_qual_chall_2003_405'], ['D', 'atp_matches_2003_1184'], ['V', 'atp_matches_qual_chall_2003_1621'], ['V', 'atp_matches_qual_chall_2003_1630'], ['V', 'atp_matches_qual_chall_2003_1634'], ['V', 'atp_matches_qual_chall_2003_1636'], ['V', 'atp_matches_qual_chall_2003_1637'], ['D', 'atp_matches_qual_chall_2003_1644'], ['D', 'atp_matches_2003_1745'], ['D', 'atp_matches_2003_1748'], ['V', 'atp_matches_qual_chall_2003_1788'], ['D', 'atp_matches_qual_chall_2003_1802'], ['V', 'atp_matches_2003_1954'], ['V', 'atp_matches_2003_1979'], ['V', 'atp_matches_2003_1991'], ['D', 'atp_matches_2003_1997'], ['V', 'atp_matches_2003_2066'], ['V', 'atp_matches_2003_2090'], ['D', 'atp_matches_2003_2105'], ['V', 'atp_matches_2003_2415'], ['V', 'atp_matches_2003_2439'], ['V', 'atp_matches_2003_2451'], ['D', 'atp_matches_2003_2457'], ['D', 'atp_matches_2003_2520'], ['D', 'atp_matches_2003_2846'], ['D', 'atp_matches_qual_chall_2003_2941'], ['V', 'atp_matches_qual_chall_2003_2973'], ['V', 'atp_matches_qual_chall_2003_3037'], ['V', 'atp_matches_qual_chall_2003_3356'], ['V', 'atp_matches_qual_chall_2003_3364'], ['V', 'atp_matches_qual_chall_2003_3368'], ['V', 'atp_matches_qual_chall_2003_3370'], ['V', 'atp_matches_qual_chall_2003_3371'], ['D', 'atp_matches_2003_3636'], ['V', 'atp_matches_qual_chall_2003_3877'], ['V', 'atp_matches_qual_chall_2003_3885'], ['V', 'atp_matches_qual_chall_2003_3889'], ['D', 'atp_matches_qual_chall_2003_3891'], ['V', 'atp_matches_2003_4123'], ['V', 'atp_matches_2003_4132'], ['D', 'atp_matches_2003_4137'], ['V', 'atp_matches_2003_4344'], ['V', 'atp_matches_2003_4360'], ['V', 'atp_matches_2003_4374'], ['D', 'atp_matches_2003_4381'], ['V', 'atp_matches_2003_4772'], ['V', 'atp_matches_2003_4782'], ['V', 'atp_matches_2003_4787'], ['V', 'atp_matches_2003_4789'], ['D', 'atp_matches_2003_4790'], ['D', 'atp_matches_2003_5036'], ['D', 'atp_matches_2003_5655'], ['D', 'atp_matches_2003_6509'], ['V', 'atp_matches_2003_6587'], ['D', 'atp_matches_2003_6597'], ['D', 'atp_matches_2003_6884'], ['D', 'atp_matches_2003_6973'], ['D', 'atp_matches_2003_7273'], ['D', 'atp_matches_2004_34'], ['V', 'atp_matches_2004_232'], ['D', 'atp_matches_2004_273'], ['V', 'atp_matches_2004_842'], ['V', 'atp_matches_2004_852'], ['D', 'atp_matches_2004_857'], ['V', 'atp_matches_2004_928'], ['D', 'atp_matches_2004_941'], ['V', 'atp_matches_2004_1050'], ['D', 'atp_matches_2004_1064'], ['V', 'atp_matches_2004_1174'], ['V', 'atp_matches_2004_1188'], ['D', 'atp_matches_2004_1195'], ['D', 'atp_matches_2004_1269'], ['D', 'atp_matches_2004_2180'], ['V', 'atp_matches_2004_2507'], ['V', 'atp_matches_2004_2532'], ['D', 'atp_matches_2004_2545'], ['D', 'atp_matches_2004_2620'], ['V', 'atp_matches_2004_2747'], ['V', 'atp_matches_2004_2761'], ['V', 'atp_matches_2004_2768'], ['V', 'atp_matches_2004_2772'], ['V', 'atp_matches_2004_2774'], ['D', 'atp_matches_2004_2962'], ['D', 'atp_matches_2004_3507'], ['V', 'atp_matches_2004_3728'], ['D', 'atp_matches_2004_3785'], ['V', 'atp_matches_2004_4172'], ['D', 'atp_matches_2004_4187'], ['V', 'atp_matches_2004_4567'], ['V', 'atp_matches_2004_4569'], ['V', 'atp_matches_2004_4817'], ['V', 'atp_matches_2004_4831'], ['V', 'atp_matches_2004_4838'], ['V', 'atp_matches_2004_4841'], ['D', 'atp_matches_2004_4843'], ['V', 'atp_matches_qual_chall_2004_5093'], ['D', 'atp_matches_qual_chall_2004_5109'], ['V', 'atp_matches_qual_chall_2004_5124'], ['V', 'atp_matches_qual_chall_2004_5140'], ['V', 'atp_matches_qual_chall_2004_5148'], ['V', 'atp_matches_qual_chall_2004_5152'], ['V', 'atp_matches_qual_chall_2004_5154'], ['D', 'atp_matches_2004_5716'], ['V', 'atp_matches_2004_5994'], ['D', 'atp_matches_2004_6027'], ['V', 'atp_matches_2004_6485'], ['V', 'atp_matches_2004_6499'], ['V', 'atp_matches_2004_6506'], ['D', 'atp_matches_2004_6510'], ['V', 'atp_matches_2004_6661'], ['D', 'atp_matches_2004_6663'], ['V', 'atp_matches_2004_6772'], ['V', 'atp_matches_2004_6786'], ['V', 'atp_matches_2004_6793'], ['V', 'atp_matches_2004_6797'], ['D', 'atp_matches_2004_6799'], ['V', 'atp_matches_2004_7231'], ['D', 'atp_matches_2004_7241'], ['D', 'atp_matches_2004_7364'], ['D', 'atp_matches_2004_7528'], ['D', 'atp_matches_2005_65'], ['D', 'atp_matches_2005_188'], ['D', 'atp_matches_2005_297'], ['V', 'atp_matches_2005_715'], ['V', 'atp_matches_2005_725'], ['V', 'atp_matches_2005_730'], ['D', 'atp_matches_2005_733'], ['D', 'atp_matches_2005_893'], ['D', 'atp_matches_2005_1118'], ['V', 'atp_matches_2005_1274'], ['V', 'atp_matches_2005_1284'], ['D', 'atp_matches_2005_1289'], ['D', 'atp_matches_2005_1432'], ['D', 'atp_matches_2005_1770'], ['V', 'atp_matches_2005_1944'], ['V', 'atp_matches_2005_1952'], ['V', 'atp_matches_2005_1956'], ['D', 'atp_matches_2005_1958'], ['V', 'atp_matches_2005_2141'], ['V', 'atp_matches_2005_2160'], ['V', 'atp_matches_2005_2169'], ['D', 'atp_matches_2005_2174'], ['V', 'atp_matches_2005_2544'], ['D', 'atp_matches_2005_2545'], ['V', 'atp_matches_2005_2650'], ['D', 'atp_matches_2005_2671'], ['V', 'atp_matches_2005_2767'], ['V', 'atp_matches_2005_2792'], ['V', 'atp_matches_2005_2804'], ['D', 'atp_matches_2005_2810'], ['V', 'atp_matches_2005_3181'], ['V', 'atp_matches_2005_3215'], ['D', 'atp_matches_2005_3232'], ['D', 'atp_matches_2005_3931'], ['V', 'atp_matches_qual_chall_2005_4150'], ['V', 'atp_matches_qual_chall_2005_4166'], ['V', 'atp_matches_qual_chall_2005_4174'], ['D', 'atp_matches_qual_chall_2005_4178']]"
Matches_Clay_2,"['D', 'D', 'V', 'D', 'V', 'D', 'D', 'V', 'V', 'V', 'D', 'D', 'D', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'D', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'D', 'D', 'D', 'V', 'D', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'D', 'D', 'V', 'D', 'D', 'V', 'D', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'D', 'D', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'D', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'D', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'D', 'D', 'V', 'D', 'D', 'V', 'D', 'D', 'V', 'D', 'D', 'V', 'V', 'V', 'V', 'V', 'D', 'D', 'D', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'D', 'D', 'D', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'D', 'V', 'D', 'V', 'V', 'D', 'V', 'D', 'V', 'D', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'D', 'V', 'V', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D']"
Matches_Carpet_2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'V', 'D', 'D', 'D']"
Matches_Grass_2,"['D', 'D', 'V', 'D', 'D']"
Matches_Hard_2,"['D', 'V', 'D', 'V', 'V', 'D', 'V', 'D', 'D', 'D', 'D', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'D', 'D', 'V', 'V', 'D', 'D', 'D', 'D', 'V', 'D', 'D', 'D', 'V', 'D', 'D', 'D', 'D', 'D', 'D']"
Victories_Percentage_2,56.03715170278638
Clay_Victories_Percentage_2,61.36363636363637
Carpet_Victories_Percentage_2,9.090909090909092
Grass_Victories_Percentage_2,20.0
Hard_Victories_Percentage_2,39.53488372093023
Aces_Percentage_2,1.2510230328539695
Doublefaults_Percentage_2,3.7881445106980007
First_Serve_Success_Percentage_2,66.30422074126038
Winning_on_1st_Serve_Percentage_2,65.75470595112826
Winning_on_2nd_Serve_Percentage_2,16.49713550800889
Overall_Win_on_Serve_Percentage_2,82.25184145913715
BreakPoint_Face_Percentage_2,10.312171168011224
BreakPoint_Saved_Percentage_2,5.869285630772828
games_fatigue_2,58.0
minutes_fatigue_2,
last_rankings_2,"[32, 65, 60, 45, 39, 40, 9999, 43, 42, 41, 31, 34]"
last_ranking_points_2,"[1060, 630, 685, 775, 890, 890, 0, 850, 885, 885, 1060, 990]"
Winner,0
score,6-1 2-6 6-4
elapsed_minutes,100.0
aces_nb_1,4.0
doublefaults_nb_1,5.0
svpt_1,68.0
1stIn_1,36.0
1stWon_1,27.0
2ndWon_1,16.0
SvGms_1,13.0
bpSaved_1,5.0
bpFaced_1,9.0
aces_nb_2,0.0
doublefaults_nb_2,6.0
svpt_2,93.0
1stIn_2,63.0
1stWon_2,33.0
2ndWon_2,17.0
SvGms_2,12.0
bpSaved_2,6.0
bpFaced_2,11.0
tournament_year,2005
