name,id,ranking,ranking_points,born_year,versus,hand,height,victory_percentage,clay_victory_percentage,carpet_victory_percentage,grass_victory_percentage,hard_victory_percentage,ace_percentage,doublefault_percentage,first_serve_success_percentage,winning_on_1st_serve_percentage,winning_on_2nd_serve_percentage,overall_win_on_serve_percentage,breakpoint_faced_percentage,breakpoint_saved_percentage
Christian Sigsgaard,144841,1605,1,1997,"{105932: ['V'], 134854: ['V']}",U,0,100.0,0,100.0,0.0,0.0,3.7037037037037033,3.7037037037037033,68.51851851851852,46.913580246913575,16.049382716049383,62.96296296296296,55.55555555555556,33.33333333333333
Louis Wessels,144923,568,54,1998,"{105731: ['V'], 105373: ['D']}",R,0,50.0,50.0,0,0.0,0.0,4.032258064516129,7.258064516129033,70.96774193548387,45.16129032258064,11.29032258064516,56.4516129032258,61.904761904761905,28.57142857142857
Luis Felipe Noriega,198661,0,0,1983,{104395: ['V']},U,0,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Catarina,200031,355,131,1996,"{104882: ['D'], 104813: ['D'], 144854: ['V']}",R,0,33.33333333333333,0,0,0.0,100.0,3.153153153153153,8.558558558558559,50.45045045045045,29.72972972972973,21.17117117117117,50.9009009009009,97.05882352941177,50.0
Yibing Wu,200059,338,142,1999,"{106329: ['D'], 104468: ['D'], 105359: ['V']}",R,0,33.33333333333333,0,0,0.0,0.0,6.104651162790697,2.616279069767442,54.65116279069767,37.5,24.418604651162788,61.91860465116279,65.21739130434783,43.47826086956522
Alexandar Lazarov,200247,750,28,1997,"{104947: ['D'], 123795: ['V'], 105430: ['D']}",R,0,33.33333333333333,0,0,0.0,33.33333333333333,5.769230769230769,6.538461538461539,51.92307692307693,35.38461538461539,22.692307692307693,58.07692307692308,76.31578947368422,44.73684210526316
Jean Jacques Rakotohasy,200272,0,0,1994,"{202219: ['V'], 111781: ['V']}",,0,100.0,100.0,0,0.0,0.0,10.0,7.5,62.5,45.0,26.25,71.25,21.428571428571427,14.285714285714285
Hady Habib,200273,938,14,1998,"{134886: ['V'], 104631: ['D']}",,0,50.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Diaz,200274,0,0,1997,"{105656: ['D'], 109257: ['V'], 121331: ['V']}",,0,66.66666666666666,0,0,0.0,66.66666666666666,2.7777777777777777,5.555555555555555,51.388888888888886,20.833333333333336,20.833333333333336,41.66666666666667,145.45454545454547,72.72727272727273
Alex De Minaur,200282,105,541,1999,"{104898: ['D'], 105332: ['V'], 105589: ['V'], 104999: ['D'], 106233: ['D'], 105723: ['D'], 105023: ['D']}",R,0,28.57142857142857,0.0,0,0.0,33.33333333333333,3.7735849056603774,4.631217838765009,61.23499142367067,38.59348198970841,17.83876500857633,56.43224699828474,107.8125,56.25
August Holmgren,200416,1754,1,1998,{202382: ['V']},R,0,100.0,0,0,0.0,100.0,6.741573033707865,5.617977528089887,61.79775280898876,42.69662921348314,23.595505617977526,66.29213483146067,66.66666666666666,58.333333333333336
Nicolas Xiviller,200537,1056,9,1998,{118591: ['V']},,0,100.0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Britez,200621,1698,1,1998,"{105985: ['D'], 108786: ['V'], 106175: ['D']}",,0,33.33333333333333,0,0,0.0,0.0,2.877697841726619,5.39568345323741,69.7841726618705,46.043165467625904,14.028776978417264,60.07194244604317,86.04651162790698,55.81395348837209
